Disease_Code,Name,Treatments,Contagious,Chronic
D186,Hypoglycemia,"Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage",False,True
D187,Sciatica,"Rest, gentle stretching exercises, warm or cold compresses, prenatal massages, maintaining good posture, avoiding activities that worsen the pain",False,False
D188,Cystic Fibrosis,"Medications (mucus-thinning drugs, bronchodilators), chest physical therapy, enzyme supplements, lung transplant (in severe cases)",True,True
D189,Insulin Overdose,"Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen",False,True
D190,Peritonsillar Abscess,"Antibiotics to treat infection, drainage of the abscess (needle aspiration or incision and drainage), pain relievers, warm saltwater gargles, rest, fluids, surgical removal of the tonsils (in chronic or recurrent cases)",True,True
D191,Leishmaniasis,"Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)",True,True
D192,Pulmonary Congestion,"Diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes",True,True
D193,Magnesium Deficiency,"Dietary changes (consuming magnesium-rich foods), oral magnesium supplements, intravenous magnesium therapy (in severe cases), addressing underlying causes (e.g., malabsorption), medical supervision and monitoring",True,True
D194,Fracture of the Shoulder,"Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)",False,True
D195,Thrombophlebitis,"Medications to manage pain and inflammation, compression stockings or bandages to promote blood flow, elevation of the affected limb, warm compresses, regular movement and exercise, treatment of underlying causes (such as infection or intravenous catheter removal), anticoagulant therapy to prevent clot formation or progression",True,True
D196,Encephalitis,"Hospitalization, antiviral medications (if caused by a viral infection), supportive care",True,True
D197,Fat Embolism,"Supportive care (oxygen therapy, fluid resuscitation), managing symptoms (pain medication, anticoagulants), treatment of underlying cause if possible",False,True
D198,Cyst of the Eyelid,"Warm compresses, good eyelid hygiene, antibiotic ointments (if infected), surgical removal (if necessary)",False,False
D199,Dislocation of the Patella,"Manual reduction, immobilization, physical therapy",False,True
D200,Conjunctivitis due to Allergy,"Allergen avoidance, antihistamine eye drops, cold compresses, lubricating eye drops",False,False
D201,Coagulation (Bleeding) Disorder,"Blood transfusions, clotting factor replacement therapy, medications to stimulate clotting, lifestyle modifications, surgery (in some cases)",False,True
D202,Idiopathic Absence of Menstruation,"Evaluation to determine underlying cause, hormone therapy",False,True
D203,Migraine,"Pain-relieving medications, lifestyle changes, preventive medications",False,True
D204,Temporomandibular Joint Disorder,"Self-care measures (rest, applying heat or cold, jaw exercises), pain medications, physical therapy, oral splints",False,True
D205,Vitamin A Deficiency,"Vitamin A supplementation, dietary changes to include foods rich in vitamin A",False,False
D206,Glucocorticoid Deficiency,Hormone replacement therapy with glucocorticoid medications,True,True
D207,Astigmatism,"Eyeglasses, contact lenses, refractive surgery (LASIK, PRK), orthokeratology, toric intraocular lenses",False,False
D208,Low-Tension Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",False,True
D209,Headache after lumbar puncture,"Epidural blood patch, Conservative measures",False,False
D210,Flat Feet,"Supportive footwear, orthotic inserts, physical therapy exercises, pain management, surgery (in severe cases)",True,True
D211,Carbon Monoxide Poisoning,"Fresh air, oxygen therapy, immediate medical attention",False,True
D212,Orbital Cellulitis,"Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)",False,False
D213,Pulmonary Eosinophilia,"Identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional",True,True
D214,Antimicrobial Drugs Poisoning,"Immediate medical attention, supportive care, antidote administration",False,False
D215,Eczema,"Emollients (moisturizers), topical corticosteroids or immunomodulators, avoiding triggers",False,False
D216,Pneumonia,"Antibiotics, antiviral medications (if applicable), rest, fluids, symptomatic relief",True,True
D217,Intestinal Malabsorption,"Dietary modifications (specific to the underlying cause), supplementation of deficient nutrients, medications (to manage symptoms or underlying condition), treatment of underlying cause",True,True
D218,Conductive Hearing Loss,"Medications, surgical intervention, hearing aids",False,True
D219,Pinworm Infection,"Anthelmintic medication, hygiene measures (handwashing, trimming nails, laundering bedding), treatment for household members",False,True
D220,Esophageal Varices,"Medications (beta-blockers, vasoconstrictors), endoscopic therapies, band ligation, transjugular intrahepatic portosystemic shunt (TIPS), surgical interventions",False,True
D221,Dermatitis due to Sun Exposure,"Moisturizers, cool compresses, topical corticosteroids",False,False
D222,Gonorrhea,"Antibiotics (dual therapy with ceftriaxone and azithromycin), safe sexual practices, partner notification",False,True
D223,Chronic Sinusitis,"Saline nasal irrigation, nasal corticosteroids, antibiotics (in bacterial cases), decongestants, pain relievers, surgery (in severe or chronic cases)",True,True
D224,Concussion,"Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries",False,True
D225,Parathyroid Adenoma,"Surgical removal of the adenoma (parathyroidectomy), medications to manage calcium levels",True,True
D226,Herpangina,"Symptomatic relief (pain relievers, throat lozenges, mouth rinses), rest, fluids, maintaining good oral hygiene, avoiding spicy or acidic foods",True,False
D227,Conversion Disorder,"Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)",False,True
D228,Lymphedema,"Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)",False,True
D229,Hirschsprung Disease,Surgery to remove the affected part of the colon (pull-through procedure),False,True
D230,Rheumatoid Arthritis,"Medications (nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs), physical therapy, exercise",True,True
D231,Turner syndrome,"Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations",False,True
D232,Endophthalmitis,"Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)",True,True
D233,Myelodysplastic Syndrome,"Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)",True,True
D234,Premature Ventricular Contractions (PVCs),"Monitoring (in most cases), lifestyle changes, medications (beta-blockers, antiarrhythmics)",False,True
D235,Ludwig's angina,"Intravenous antibiotics, airway management, surgical drainage",True,False
D236,Cryptococcosis,"Antifungal medication (e.g., Amphotericin B, Fluconazole), supportive care",True,True
D237,Diabetic Kidney Disease,"Blood pressure control, blood sugar control, medications to protect the kidneys (such as ACE inhibitors or ARBs), lifestyle modifications (healthy diet, regular exercise, quitting smoking), management of underlying diabetes, treatment of complications (such as dialysis or kidney transplantation in advanced stages)",True,True
D238,Premenstrual Tension Syndrome,"Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy",False,True
D239,Drug Abuse (Methamphetamine),"Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)",False,True
D240,Urge Incontinence,"Behavioral therapies (bladder training, pelvic floor exercises), medications (anticholinergics, beta-3 agonists), medical devices",False,True
D241,Dengue Fever,"Supportive care (hydration, pain relievers, rest), monitoring, medical attention for severe cases (fluid replacement, blood transfusion, hospitalization)",True,True
D242,Lead Poisoning,"Removal of lead source, chelation therapy (in severe cases), supportive care, medication to manage symptoms, addressing complications (such as anemia)",True,True
D243,Actinic Keratosis,"Topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag",False,True
D244,Choledocholithiasis,"Non-surgical treatment options: Medications to manage pain and discomfort, antibiotics",False,True
D245,Head and Neck Cancer,"Treatment depends on the specific type and stage of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",True,True
D246,Sjögren's syndrome,"Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs",True,True
D247,Peritonitis,"Intravenous antibiotics to treat the infection, intravenous fluids to restore hydration, drainage or removal of any underlying fluid or abscess, surgery to repair or remove the source of infection",True,False
D248,Anemia of Chronic Disease,"Treating the underlying chronic disease, addressing nutritional deficiencies, blood transfusions (in severe cases)",True,True
D249,Ovarian Torsion,"Emergency medical attention (as ovarian torsion is a medical emergency), imaging tests (such as ultrasound or CT scan) to diagnose torsion, surgical intervention (laparoscopic or open surgery) to untwist the ovary and restore blood flow, removal of the ovary (if it is damaged or non-viable), pain management (medications for pain relief)",True,True
D250,Lupus,"Medications (anti-inflammatory, immunosuppressants), lifestyle modifications",True,True
D251,Neonatal Jaundice,"Phototherapy, exchange transfusion (in severe cases), monitoring of bilirubin levels, addressing underlying causes (e.g., breastfeeding)",False,True
D252,Gastrointestinal Hemorrhage,"Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding",False,True
D253,Dislocation of the Ankle,"Reduction (realigning the bones), immobilization, rehab",False,False
D254,Vaginal Cyst,"Observation (if asymptomatic), warm compresses, sitz baths, surgical removal (if necessary)",False,False
D255,Orthorexia Nervosa,"Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues",False,True
D256,Urinary Tract Infection (UTI),"Antibiotics, increased fluid intake, pain relievers",False,False
D257,Placenta Previa,"Bed rest, avoiding strenuous activity, frequent prenatal check-ups, potential hospitalization, potential cesarean delivery",False,False
D258,Acute Pancreatitis,"Hospitalization, intravenous fluids to restore hydration, pain management, bowel rest, nutritional support, medications to control pain and inflammation",True,True
D259,Gum Disease,"Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions",False,True
D260,Panic Attack,"Breathing exercises, relaxation techniques, therapy",False,True
D261,Lice,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies",False,True
D262,Pyloric stenosis,"Ultrasound, Blood tests, Pyloromyotomy",False,False
D263,Pigmentary Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",False,False
D264,Abscess,"Antibiotics, surgical drainage",True,False
D265,Myositis,"Medications (corticosteroids, immunosuppressants), physical therapy",False,True
D266,Von Willebrand Disease,"Desmopressin (DDAVP) medication, replacement therapy with von Willebrand factor (VWF) concentrate or cryoprecipitate, oral contraceptives (for women with heavy menstrual bleeding), avoiding certain medications, dental care precautions, regular medical follow-up",False,True
D267,Gastroparesis,"Dietary modifications (small, frequent meals; low-fiber, low-fat diet), medication to promote gastric emptying, managing underlying cause if possible",False,True
D268,Chancroid,"Antibiotics (such as azithromycin or ceftriaxone), pain management, warm compresses, good hygiene",False,False
D269,Fungal Infection of the Skin,"Antifungal creams, powders, or oral medications, proper hygiene and skin care",False,True
D270,Stimulant Use Disorder,"Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, medication (if applicable), addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",False,True
D271,Chronic Fatigue Syndrome,"Symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms",True,True
D272,Threatened Pregnancy,"Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy",False,True
D273,Chronic Glaucoma,"Eye drops (to reduce intraocular pressure), oral medications, laser therapy, surgery (trabeculectomy, implantable devices), regular eye exams",False,True
D274,Urticaria (Hives),"Antihistamines, avoiding triggers, corticosteroids (in severe cases)",False,False
D275,Vitreous Hemorrhage,"Observation, laser treatment, vitrectomy (in severe cases)",False,False
D276,Binge Eating Disorder,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups",False,True
D277,Hypercholesterolemia,"Lifestyle modifications (healthy diet, regular exercise, weight management, smoking cessation), medications to lower cholesterol levels (such as statins), regular monitoring of cholesterol levels, management of underlying conditions (such as diabetes or high blood pressure), potential additional treatments (such as bile acid sequestrants or PCSK9 inhibitors)",False,True
D278,Stress Incontinence,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)",False,False
D279,Labyrinthitis,"Medications (antibiotics, antivirals), vestibular rehabilitation therapy",False,True
D280,Dysthymic Disorder,"Psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications",False,True
D281,Ethylene glycol poisoning-1,"Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",False,False
D282,Impulse Control Disorder,"Psychotherapy, medication (in some cases), support groups, behavioral interventions",False,True
D283,Intracranial Hemorrhage,"Emergency medical attention, surgery (if needed), medications to control bleeding and manage symptoms",False,True
D284,Postpartum Depression,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), support groups or peer counseling, antidepressant medication (if recommended by a healthcare professional), hormone therapy (in some cases), lifestyle changes (such as exercise, healthy diet, sleep hygiene), involving a partner or family in the care of the baby, social support and understanding from family and friends, regular follow-up and monitoring by healthcare professionals",True,True
D285,Injury to the Leg,"R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy",False,True
D286,Stroke,"Emergency medical attention, medication (clot-busting drugs, anticoagulants), supportive care, rehabilitation (physical therapy, speech therapy), lifestyle modifications (diet, exercise, smoking cessation), addressing underlying risk factors",False,True
D287,Huntington Disease,"Supportive care, medications (to manage symptoms), therapy",False,True
D288,Mononucleosis,"Rest, pain relievers, fluids, symptom management",True,False
D289,Hallucinogen Use Disorder,"Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, harm reduction strategies, ongoing monitoring and support",False,True
D290,Ependymoma,"Surgery, radiation therapy, chemotherapy, targeted therapy, rehabilitation",False,True
D291,Lymphoma,"Chemotherapy, radiation therapy, immunotherapy, targeted therapy",True,True
D292,Transient ischemic attack,"Antiplatelet medications, Carotid endarterectomy,  Anticoagulant medications, Lifestyle modifications",False,True
D293,Normal-Tension Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",False,True
D294,Thyroid Disease,"Medications (thyroid hormone replacement, antithyroid drugs), radioactive iodine therapy, surgery (in some cases)",True,True
D295,Bladder Cancer,"Surgery, chemotherapy, radiation therapy",False,True
D296,Fracture of the Arm,"Immobilization (cast or splint), pain management, physical therapy, surgery (in complex fractures)",False,True
D297,Kidney Failure,"Treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms, dietary modifications (restricting salt, protein, and potassium), dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure), treatment of complications, management of fluid and electrolyte balance, lifestyle modifications (exercise, quitting smoking, healthy diet)",True,True
D298,Chagas Disease,"Antiparasitic medications, medications to manage symptoms, supportive care",True,True
D299,Leukemia,"Chemotherapy, radiation therapy, stem cell transplant, targeted therapy, supportive care",True,True
D300,Vesicoureteral Reflux,"Antibiotics, bladder training exercises, surgical correction (in some cases)",False,False
D301,Psoriasis,"Topical treatments (corticosteroids, salicylic acid), systemic medications (retinoids, immunosuppressants), phototherapy",False,True
D302,Infection of Open Wound,"Cleaning and irrigation of the wound, antibiotic therapy (oral or intravenous), wound dressings, wound debridement (if necessary), tetanus prophylaxis",True,True
D303,Anemia,"Iron supplementation, dietary changes (iron-rich foods), managing underlying causes (such as treating iron deficiency or vitamin B12 deficiency), prenatal vitamins",True,False
D304,Spondylosis,"Medications (pain relievers, muscle relaxants), physical therapy, exercise, posture improvement, heat or cold therapy, spinal injections, surgery (in severe cases or if conservative treatments fail)",False,True
D305,Acute Otitis Media,"Antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)",True,False
D306,Fracture,"Immobilization, Surgery, Rehabilitation",False,False
D307,Round Ligament Pain,"Resting, changing positions slowly, warm compresses, gentle stretching, avoiding sudden movements",False,False
D308,Autism,"Behavioral therapy, educational interventions, speech and language therapy, medications for associated symptoms",False,True
D309,Pleomorphic adenoma,Surgical excision,False,False
D310,Otosclerosis,"Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments",False,True
D311,Bulimia Nervosa,"Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups",False,True
D312,Poisoning due to Analgesics,"Immediate medical attention, activated charcoal administration, supportive care, antidote (if available), treatment for complications",False,False
D313,Pseudohypoparathyroidism,"Calcium and vitamin D supplementation, management of complications, hormone replacement therapy (if necessary)",False,True
D314,Anemia due to Malignancy,"Treating underlying malignancy, blood transfusions, medications (erythropoiesis-stimulating agents, iron supplements)",True,True
D315,Hyperhidrosis,"Antiperspirants, medications (anticholinergics, beta blockers), iontophoresis, Botox injections, surgical interventions (sympathectomy, sweat gland removal)",False,True
D316,Otitis Media,"Antibiotics (if bacterial infection), pain relievers, observation (in some cases)",True,False
D317,Benign Kidney Cyst,"Observation, medication (if needed), surgery (in rare cases)",False,True
D318,Pain after an Operation,"Pain medications, ice packs, rest, wound care",False,True
D319,Chronic Knee Pain,"Pain management, physical therapy, lifestyle modifications, knee braces or supports",False,True
D320,Volvulus,Emergency surgery to untwist the affected organ and restore blood flow,False,False
D321,Scurvy,"Vitamin C supplementation, dietary changes, oral hygiene maintenance",True,False
D322,Urinary Stones (Kidney Stones),"Pain management, increased fluid intake, medications to help pass the stones, procedures or surgery",False,True
D323,Injury to the Finger,"RICE method (Rest, Ice, Compression, Elevation), splinting, pain medication, physical therapy, surgery (in severe cases)",False,True
D324,Retinal Detachment,"Surgical intervention (pneumatic retinopexy, scleral buckle, vitrectomy), laser therapy, cryotherapy, gas or silicone oil injection, positioning, regular eye exams",False,True
D325,Chronic Rheumatic Fever,"Antibiotics (to treat streptococcal infections), anti-inflammatory medications, medications for heart complications",True,True
D326,Acute Bronchospasm,"Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)",False,True
D327,Vulvodynia,"Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)",False,True
D328,Other Specified Feeding or Eating Disorder (OSFED),"Treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary",False,True
D329,Anemia due to Chronic Kidney Disease,"Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)",True,False
D330,Pemphigus,"Corticosteroids, immunosuppressants, wound care",False,False
D331,Syphilis,"Antibiotics (usually penicillin), treatment of complications, regular follow-up and testing",True,False
D332,Omphalitis,"Antibiotics, wound care, surgical intervention (in severe cases)",False,False
D333,Idiopathic Nonmenstrual Bleeding,"Evaluation to rule out underlying causes (such as hormonal imbalances, polyps, infections, or uterine abnormalities), hormonal therapy (such as birth control pills, hormone replacement therapy), non-hormonal medications (such as tranexamic acid), dilation and curettage (if necessary to remove excessive tissue or investigate the cause), endometrial ablation (in some cases), hysteroscopy (to examine the uterus), surgery (in rare cases), counseling or support for emotional well-being",False,True
D334,Myofascial Pain Syndrome,"Physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy",False,True
D335,Vocal cord polyp,"Voice Rest, Speech Therapy, Surgical Removal",True,True
D336,Rotator Cuff Injury,"Non-surgical treatment options: Rest, ice or heat therapy, pain medications, physical therapy exercises, Arthroscopic surgery",False,True
D337,Fibromyalgia,"Multidisciplinary approach: Medications for pain management (such as analgesics, antidepressants, and anticonvulsants), physical therapy, occupational therapy, cognitive-behavioral therapy, relaxation techniques, stress management, exercise programs",True,True
D338,Hypercalcemia,"Treating underlying cause, hydration, medications",True,True
D339,Secondary Glaucoma,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)",False,True
D340,Drug Reaction,"Discontinuation of the offending drug, supportive care, antihistamines, corticosteroids (in severe cases)",True,False
D341,Acute Sinusitis,"Home remedies (such as nasal saline irrigation, steam inhalation), over-the-counter pain relievers (such as acetaminophen or ibuprofen), nasal decongestants (for short-term use), nasal corticosteroids (to reduce inflammation), plenty of fluids and rest, warm compresses, avoidance of irritants (such as smoke or allergens), prescription antibiotics (if bacterial infection is suspected or confirmed), management of underlying causes (such as allergies or nasal polyps), symptom relief medications (such as cough suppressants or antihistamines)",True,True
D342,Polycystic Ovarian Syndrome,"Lifestyle changes (diet, exercise, weight management), hormonal contraceptives, fertility treatments (if needed)",False,True
D343,Optic Neuritis,"High-dose intravenous corticosteroids, treatment of underlying cause, symptom management, visual rehabilitation",False,False
D344,Adrenal Cancer,"Surgery (adrenalectomy), chemotherapy, radiation therapy, targeted therapy, hormone replacement therapy",False,True
D345,Intracranial Abscess,"Antibiotics, surgical drainage or removal of the abscess, supportive care",True,False
D346,Adenoid cystic carcinoma,"Surgery, Radiation therapy",False,True
D347,Fracture of the Patella,"Immobilization (splint, cast, or brace), pain management, physical therapy, exercises to restore mobility and strength, potential surgical intervention (in severe cases or if displacement is present)",False,True
D348,Restless Leg Syndrome,"Lifestyle changes (such as regular exercise, avoiding triggers like caffeine), good sleep hygiene (maintaining a regular sleep schedule), leg massages or stretching exercises, hot or cold packs, medication therapy (such as dopamine agonists, anticonvulsants, opioids), iron supplementation (if iron deficiency is present)",False,True
D349,Cold Sore,"Antiviral medications (topical or oral), pain relievers, antiviral creams, self-care measures",False,True
D350,Chronic Kidney Disease,"Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care",True,True
D351,Goiter,"Treatment depends on the underlying cause (medication, radioactive iodine therapy, surgery)",False,True
D352,Type 1 Diabetes,"Insulin therapy, Blood sugar monitoring, Healthy eating, Regular exercise",False,True
D353,Dislocation of the Elbow,"Closed reduction (realigning the bones without surgery), immobilization (splint or cast), physical therapy, pain management, surgical intervention (in complex or recurrent cases)",False,True
D354,Rabies,"Immediate medical attention (post-exposure prophylaxis), wound care, administration of rabies vaccine and immunoglobulin, supportive care, monitoring and management of symptoms",True,True
D355,Contact Dermatitis,"Avoiding the trigger, corticosteroid creams or ointments, antihistamines",False,False
D356,Hemophilia,"Replacement therapy with clotting factor concentrates, medications to control bleeding, physical therapy, joint protection measures, genetic counseling and testing for family members",False,True
D357,Open Wound from Surgical Incision,"Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions",False,False
D358,Chronic Migraine,"Medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, Botox injections, neuromodulation devices, acupuncture",False,True
D359,Hyperkalemia,"Treatment of underlying cause, medications to reduce potassium levels, dietary modifications, dialysis (in severe cases)",True,True
D360,Bipolar Disorder,"Medications (mood stabilizers, antipsychotics), therapy",False,True
D361,Sedatives Poisoning,"Immediate medical attention, supportive care, antidote administration",False,False
D362,Plantar Fasciitis,"Rest, stretching exercises, orthotic devices, physiotherapy",False,True
D363,Priapism,"Medical intervention (aspiration, medication, surgery)",False,True
D364,Gestational Hypertension,"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider",False,True
D365,Pyelonephritis,"Antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy",True,True
D366,Drug Abuse (Cocaine),"Medical detoxification, counseling, behavioral therapies, support groups",False,False
D367,Gout,"Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes",False,True
D368,Narcolepsy,"Stimulant medications, antidepressants, lifestyle modifications, scheduled naps",False,True
D369,Submandibular stones,"Hydration,Saliva stimulation, Stone removal",False,False
D370,Dental Caries,"Dental fillings, crowns, root canal treatment, tooth extraction (in severe cases), oral hygiene practices (brushing and flossing), regular dental check-ups, fluoride treatments, dietary modifications (reducing sugary and acidic foods and drinks), dental sealants (for prevention), education on proper oral care",False,False
D371,Vitamin B12 Deficiency,"Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment",True,True
D372,Testicular Cancer,"Surgery (orchiectomy), chemotherapy, radiation therapy, surveillance (for some cases)",False,True
D373,Peyronie Disease,"Medications, traction therapy, surgery",False,True
D374,Hepatitis due to a Toxin,"Supportive care, removal or avoidance of the toxic substance, management of symptoms",True,False
D375,Foreign Body in the Throat,"Immediate medical attention, removal of the foreign body, evaluation for any complications",False,False
D376,Stenosis of the Tear Duct,"Tear duct probing, dilation, surgical correction",False,False
D377,Lateral Epicondylitis (Tennis Elbow),"Rest, ice or cold therapy, compression, elbow brace or strap, pain relievers, physical therapy exercises, corticosteroid injections (in severe cases), ergonomic modifications",False,True
D378,Attention Deficit Hyperactivity Disorder (ADHD),"Behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (IEPs) for academic support, accommodations and modifications in school, psychoeducation, counseling",False,True
D379,Tuberous Sclerosis,"Medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement",False,True
D380,Pulmonic Valve Disease,"Medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist",True,True
D381,Pelvic Organ Prolapse,"Pelvic floor exercises, pessary use, hormone therapy, surgical repair (in severe cases)",False,True
D382,"Sedative, Hypnotic, or Anxiolytic Use Disorder","Gradual tapering off sedatives, hypnotics, or anxiolytics under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",False,True
D383,Atrial Fibrillation,"Medications (antiarrhythmics, anticoagulants), electrical cardioversion, catheter ablation, lifestyle changes",True,True
D384,Asthma,"Long-term control medications (such as inhaled corticosteroids, long-acting beta-agonists), quick-relief medications (such as short-acting beta-agonists), avoidance of triggers (such as allergens, smoke), regular monitoring of symptoms and lung function, development of an asthma action plan, proper inhaler technique, regular follow-up with a healthcare provider, emergency medications (such as oral corticosteroids) as needed",True,True
