Disease_Code,Symptoms
D359,"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting"
D337,"Widespread musculoskeletal pain, fatigue, sleep disturbances"
D360,"Mood swings, manic episodes, depressive episodes"
D361,"Drowsiness, confusion, slowed breathing"
D203,"headache, nausea, sensitivity to light, visual disturbances"
D362,"Heel pain, tenderness, difficulty walking"
D363,"Persistent, painful erection"
D364,High blood pressure without proteinuria (preeclampsia)
D365,"Fever, chills, back or flank pain, frequent urination"
D366,"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke"
D367,"Intense joint pain, swelling, redness"
D368,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)"
D369,"Swelling, pain, dry mouth, bad taste"
D370,"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath"
D371,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue"
D372,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape"
D373,"Curvature of the penis, pain during erections"
D374,"Fatigue, jaundice, abdominal pain, nausea, vomiting"
D375,"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking"
D376,"Excessive tearing, eye discharge, recurrent eye infections"
D377,"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements"
D378,"Inattention, hyperactivity, impulsivity"
D379,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities"
D380,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles"
D381,"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse"
D382,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)"
D383,"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue"
D384,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise"
D385,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects"
D386,"Fever, headache, body aches, rash"
D387,"Excessive body weight, increased risk of chronic conditions"
D388,"headache, dizziness, blurred vision"
D389,"Swelling, pain, tenderness, difficulty eating"
D390,"Difficulty seeing objects up close, blurred vision when focusing on near objects"
D391,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting"
D392,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling"
D393,"Numbness or tingling in fingers or around the mouth, muscle cramps"
D394,"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions"
D395,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases"
